id,link,style,location,company,area,decade,floor,direction,address,price,pricepm,education,subway,imglink
73,3_186309236.htm,4室2厅,渝中,协信公馆,208,2016,高层,东向,一号桥-胜利路132号,510,24519,true,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/11/M9/53/aa3f1861696d4acd89fef894403005b8/220x165c.jpg
74,3_186839373.htm,3室2厅,渝中,世纪花城,95,2006,中层,南向,黄沙溪-重庆市渝中区菜袁路205号,90,9474,false,1,http://img11.soufunimg.com/viewimage/agents/2018_10/29/M08/10/35/ChCE4lvWasSIQejWAALwQ5m7QLYABG35AKxqLAAAvBb878/220x165c.jpg
75,3_185219232.htm,1室1厅,渝中,渝中区人和街,35,2000,高层,南向,上清寺-重庆市渝中区人民路大礼堂华福巷,70,20000,true,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_8/26/M9/53/16696d4872bc4d869cbe50ed13c239e5/220x165c.jpg
76,3_187412669.htm,2室2厅,渝中,来福士广场住宅,160,2018,中层,南北向,朝天门-重庆市渝中区朝天门广场,580,36250,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_7/27/M19/13/e3ea85d7cf0c419b8974bd7cd2d9dc96/220x165c.jpg
77,3_186618979.htm,2室2厅,渝中,重庆天地SOHO,96,2013,中层,北向,化龙桥-重庆市渝中区化龙桥瑞天路56号,160,16667,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/21/M10/2/bf8d38b136cc41489eebd55e83273adf/220x165c.jpg
78,3_187218601.htm,3室2厅,渝中,协信公馆,171.51,2013,低层,东北向,一号桥-胜利路132号,370,21573,true,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/13/M15/14/a88f4ae3ce474104ba661fecfa7bbe0a/220x165c.jpg
79,3_187043786.htm,3室2厅,渝中,协信云栖谷,90,2013,中层,东向,化龙桥-虎头岩黄荆社13号,130,14444,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/22/M21/7/7bcb3099f73148d8ac2784cfdda6d2fe/220x165c.jpg
80,3_179719000.htm,3室2厅,渝中,协信公馆,143,2013,中层,南北向,一号桥-胜利路132号,380,26573,true,2,http://img11.soufunimg.com/viewimage/agents/2018_05/08/M06/1C/43/ChCE4FrxAnGIZz2rAAEg0QzJ_CYABBxHwHT2c0AASDp671/220x165c.jpg
81,3_187302865.htm,2室2厅,渝中,康田国际,88,2009,低层,南北向,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),128,14545,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/16/M19/46/e1c6ed09669443c5b2d924d3802e4cde/220x165c.jpg
82,3_187018675.htm,2室1厅,渝中,瑞安翠湖天地,84.94,2017,高层,南北向,化龙桥-化龙桥永嘉路45号(企业天地旁),205,24135,false,1,http://img11.soufunimg.com/viewimage/agents/2018_11/01/M08/10/44/ChCE4Vva7lCILuOPAACyu7bXC_EABG-AACfxfcAALLT264/220x165c.jpg
83,3_186998679.htm,1室1厅,渝中,重庆天地雍江艺庭,62,2013,低层,南向,化龙桥-瑞天路138号,130,20968,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/4/M15/29/c5d8c15e281a4c4b83ce51cb9504c06f/220x165c.jpg
84,3_185110968.htm,3室1厅,渝中,日月光解放碑1号,162,2015,中层,东向,解放碑-民权路88号,320,19753,false,1,http://img11.soufunimg.com/viewimage/agents/2018_04/01/M19/1B/89/ChCE4lrAWjeIVuSbAABVaPHKxlEABAoQAHeS-cAAFWA746/220x165c.jpg
85,3_187022569.htm,2室2厅,渝中,和泓江山国际,69.76,2013,高层,西南向,大坪-肖家湾公交车站旁(大坪医院往两路口方向的肖家,130,18635,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/30/M16/16/243da488a2504d1f93b07e6079ed46cf/220x165c.jpg
86,3_187391899.htm,4室2厅,渝中,恒大名都,148.34,2011,高层,南向,大坪-石油路1号,310,20898,true,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/20/M21/2/a927056dae1c4322aeff12cec43fce40/220x165c.jpg
87,3_186926866.htm,3室2厅,渝中,来福士广场住宅,230,2017,高层,南向,朝天门-重庆市渝中区朝天门广场,820,35652,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/1/M17/47/a5208789576a40c297fbf229db1507b5/220x165c.jpg
88,3_186442907.htm,3室2厅,渝中,华庭嘉园,105,2013,低层,西南向,解放碑-滨江路131号,130,12381,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/15/M9/44/43a91b01bada4134b91cd6e48776a0c2/220x165c.jpg
89,3_185629162.htm,2室2厅,渝中,重庆天地雍江悦庭,100,2010,低层,南向,化龙桥-化龙桥瑞天路138号(原化龙桥嘉陵路),200,20000,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_9/21/M10/25/9c9fcddc600747fd9adcb199ad84d1b6/220x165c.jpg
